fdc_id	name	Protein	Lipids	Saturated Fats	Monounsaturated Fats	Polyunsaturated	Carbohydrates	Total Sugars	Dietary Fiber	Water	Calcium	Iron	Magnesium	Phosphorus	Potassium	Sodium	Zinc	Copper	Iodine	Manganese	Selenium	Vitamin A	Vitamin E	Vitamin D	Vitamin C	Thiamin	Riboflavin	Niacin	Pantothenic acid	Vitamin B-6	Folate, total	Vitamin B-12	Choline	Vitamin K	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Histidine
2512374	Flour, buckwheat	8.88492	2.484	0	0	0	75.01808	0	10.35	12.04	30.55	3.84	167.4	281.9	378.1	0	1.755	0.5299	0	1.544	15.7	0	0	0	0	0.2413	0.16	3.839	0	0.1699	0	0	0	0	0	0	0	0	0	0	0	0	0
2512375	Flour, rye	8.3952	1.908	0	0	0	77.1618	0	13.68	11.13	32.24	2.536	95.39	280.3	434	0	2.328	0.3384	0	2.129	16.6	0	0	0	0	0.2163	0.17	1.163	0	0.1638	0	0	0	0	0	0	0	0	0	0	0	0	0
2512376	Flour, barley	8.72168	2.45	0	0	0	77.39832	0	12.79	9.899	35.56	3.301	88.04	234.4	366.6	20.33	2.144	0.3936	0	1.181	13.1	0	0	0	0	0.225	0.1463	5.941	0	0.1995	0	0	0	0	0	0	0	0	0	0	0	0	0
2512377	Flour, cassava	0.918225	0.4938	0	0	0	87.312975	0	4.834	10.56	74.55	3.988	33.56	39.24	197.6	13.08	0.4099	0.07663	0	0.3954	0	0	0	0	0	0.05125	0.0675	0.6	0	0.04988	0	0	0	0	0	0	0	0	0	0	0	0	0
2512378	Buckwheat, whole grain	11.06534	3.039	0	0	0	71.13066	0	4.046	12.95	13.64	2.444	203	373.7	414.5	0	2.236	0.4764	0	1.23	13.6	0	0	0	0	0.5388	0.1775	5.366	0	0.2776	0	0	0	0	0	0	0	0	0	0	0	0	0
2512379	Millet, whole grain	10.02177	4.194	0	0	0	74.44623	0	2.619	10.21	9.105	2.534	105.5	257.9	214.1	0	2.258	0.4883	0	0.9239	23.1	0	0	0	0	0.4113	0.1363	4.86	0	0.1918	0	0	0	0	0	0	0	0	0	0	0	0	0
2512380	Rice, brown, long grain, unenriched, raw	7.25305	3.306	0	0	0	76.68795	0	3.021	11.47	8.058	1.242	115	302.8	250.1	0	1.854	0.2659	0	2.696	14.8	0	0	0	0	0.3263	0.1025	6.271	0	0.1606	0	0	0	0	0	0	0	0	0	0	0	0	0
2512381	Rice, white, long grain, unenriched, raw	7.03885	1.033	0	0	0	80.31315	0	0.1488	11.19	4.46	0.1405	26.53	108.2	82.26	0.4625	1.354	0.2138	0	0.9811	6.6	0	0	0	0	0.065	0.08	1.434	0	0.05788	0	0	0	0	0	0	0	0	0	0	0	0	0
2514743	Beef, ground, 90% lean meat / 10% fat, raw	18.15625	12.85	5.051	4.477	0.361	0	0	0	69	7.135	2.128	16.49	148	281.4	61.64	4.194	0.05616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2514744	Beef, ground, 80% lean meat / 20% fat, raw	17.53125	19.44	6.845	7.247	0.485	0	0	0	62.82	6.889	1.965	16.41	144.4	273.3	54.94	3.848	0.0551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
